"start","end","text"
"213210","214510"," But when you're starting out, you can be"
"214510","217010"," such a sniper that you can give yourself"
"217010","217470"," the opportunity."
"217690","219890"," So now as we pull into this prior"
"219890","222270"," area, let's watch just like we did before."
"222570","224630"," How does the stock respond to that area?"
"225310","227750"," Do we see a key change in the"
"227750","229510"," tape with buyers stepping in?"
"230930","231750"," Look at that. "
"231850","234930"," Look at that distinct and noticeable change in"
"234930","235310"," the tape."
"235310","238170"," That's how I want to enter my positions."
"238410","239910"," That's what I want to see in order"
"239910","240570"," to get long. "
"240810","243450"," We had this nice break higher and then"
"243450","246850"," retracement back into that key level that we"
"246850","247550"," broke from."
"247870","250550"," And then we had that distinct and noticeable"
"250550","251110"," change."
"251330","253710"," So I can enter my position after I"
"253710","256790"," see that distinct and noticeable change at that"
"256790","257470"," key level. "
"257670","259370"," And in this case, we can risk like"
"259370","264030"," 25 cents looking for this stock to continue"
"264030","264490"," higher."
"265590","268510"," And look at the response that we get."
"269470","271990"," This is exactly what we want to see. "
"272050","274470"," And this is why being such a sniper"
"274470","275410"," is really important."
"275590","277970"," We avoided and we sidestepped all of the"
"277970","281590"," potential turns here when the stock really didn't"
"281590","282930"," get back to that level."
"283270","285630"," But once it did, we had a really"
"285630","287750"," good risk to reward opportunity. "
"287910","290650"," And we had the opportunity to put on"
"290650","294130"," this trade looking for a sustained up move."
"298390","300470"," As we see the buying pressure come in,"
"300690","303430"," again, we're going to be hold-minded with"
"303430","304030"," these trades."
"304290","307470"," We recognize that this should put in a"
"307470","308590"," higher high. "
"308770","310190"," It just put in a higher low."
"310310","311190"," The stock is trending."
"311550","312970"," It just put in a higher low. "
"313210","314950"," Now it should go and put in a"
"314950","315730"," higher high."
"316210","318090"," So as the stock moves in our favor,"
"318170","319950"," we can start to move our stop up"
"319950","322890"," very slowly with it."
"322890","326150"," If we clear the prior high, we can"
"326150","328510"," start to think about moving our stop up"
"328510","331070"," so we can preserve any profit and not"
"331070","332290"," take on additional risk. "
"332650","334370"," Look, we just had that really nice break"
"334370","335530"," up and through."
"335850","338270"," So now we can move our stop up"
"338270","341730"," to this area that we broke out of."
"341930","343650"," And then we can move our stop up"
"343650","344250"," higher. "
"345270","346830"," And then we can move our stop up"
"346830","347390"," higher."
"350960","352500"," At the end of the move, we will"
"352500","353520"," be stopped out."
"354320","356180"," But is that the worst thing in the"
"356180","356460"," world?"
"357200","358880"," It's called doing the stop game. "
"359000","361180"," You just keep moving your stop higher and"
"361180","362500"," higher and higher."
"362700","364860"," Instead of predicting where the stock can go,"
"364940","367660"," you just keep moving your stop up with"
"367660","368200"," the price."
"371660","373140"," Eventually you get stopped out. "
"373260","374320"," Let's call it right there."
"375040","375600"," That's fine."
"376360","379480"," Other people use the 9EMA as their stop. "
"379820","382780"," But that's the way to really allow yourself"
"382780","385160"," to capture the upside in some of these"
"385160","385520"," moves."
"386120","389100"," You don't want to be selling here or"
"389100","389680"," here."
"389680","391740"," You want to be just moving your stop"
"391740","394680"," up and up and up and up so"
"394680","397920"," you can capture the superior risk reward opportunities"
"397920","399820"," when they are presented to you. "
"400180","401560"," And you can see the power of this"
"401560","404280"," trade because we were risking about 25 cents"
"404280","405240"," in this trade."
"405600","408500"," And look how much upside we captured just"
"408500","410800"," by moving our stop higher and higher and"
"410800","413060"," higher as the momentum was working in our"
"413060","413360"," favor."
"413360","415280"," So let's take a step back. "
"415620","416860"," Let me paint you a quick picture."
"417460","419660"," So when Grant started, he showed promise."
"419880","421680"," He was able to put together good trading"
"421680","422800"," ideas each day. "
"423120","424600"," He was finding good stocks."
"425020","426840"," But as soon as he got into his"
"426840","428380"," own head that he wanted to make $1 "
"428380","431000",",000 a day trading, what do you think"
"431000","431640"," kind of happened?"
"432620","435420"," Well, frustration, inconsistency."
"436320","438480"," And honestly, he almost kind of burnt himself"
"438480","439140"," out of trading. "
"439140","442260"," What was really happening with Grant, he was"
"442260","444460"," starting out with a $500 daily stop."
"445000","447500"," But then he got into this negative cycle."
"447700","449100"," He wanted to make $1,000 a day. "
"449440","452280"," He'd make $300 or $500 in a trade"
"452280","453240"," just in the morning."
"453800","455640"," And then he would start to press because"
"455640","457540"," he had that $1,000 number in the"
"457540","458160"," back of his head."
"458260","459980"," And by the end of the day, he'd"
"459980","461540"," wind up frustrated and he'd be out on"
"461540","462900"," $100 or $200. "
"463640","465260"," He'd even get close to being down a"
"465260","466700"," full stop some days."
"466700","469540"," What was really happening was he was so"
"469540","471440"," attached to that number that was just out"
"471440","474760"," of reach, which sounds like an enthusiastically good"
"474760","477140"," thing to do, to be challenging yourself, to"
"477140","477620"," be stretching."
"478080","480080"," But what he was really doing was he"
"480080","483040"," would be $300 or $400 away from that"
"483040","486120"," goal and he would lose $700 or $800"
"486120","488480"," trying to get to that goal. "
"488840","490900"," He would be so attached to a number"
"490900","493400"," and a number that wasn't the right number"
"493400","494040"," for him."
"494700","497240"," He wound up getting on tilt so often"
"497240","499240"," by reaching for that goal that it would"
"499240","501120"," almost always take him like two or three"
"501120","504840"," days to recover psychologically after he went into"
"504840","505920"," that negative cycle."
"506280","508300"," It really was kind of this boom and"
"508300","511299"," bust cycle that isn't sustainable for traders when"
"511299","511960"," they start out. "
"512220","514400"," But when we kind of reframed this whole"
"514400","516039"," goal and took some of the pressure off"
"516039","518980"," and said, okay, just $200 a day, something"
"518980","520500"," started to click with Grant."
"521220","523220"," He stopped swinging for home runs."
"523220","526240"," He stopped pushing at the wrong times and"
"526240","528580"," he started playing like a pro. "
"529380","533240"," One good scalp, one clean setup, well-managed"
"533240","533660"," risk."
"533900","536140"," That was enough for him and it felt"
"536140","539020"," like a giant step back initially."
"539880","542360"," So initially he felt like he was struggling"
"542360","544300"," and he wasn't able to put his mind"
"544300","546060"," around how can I go from wanting to"
"546060","548280"," make $1,000 a day to only wanting"
"548280","549560"," to make $200 a day. "
"549560","552440"," Once he stepped back and accepted the more"
"552440","555740"," appropriate goal of $200 a day, he really"
"555740","557620"," started to move himself forward."
"558680","560560"," Shark, one of our senior traders, started out"
"560560","560980"," that way."
"561320","562720"," He'd have a goal of making $100 or"
"562720","565000"," $200 a day, just string together $100 a"
"565000","567180"," day, $200 a day for a month, then"
"567180","568580"," two months, then three months. "
"569220","572240"," He would show consistency and then he'd follow"
"572240","575200"," it up with more consistency and then again,"
"575660","576560"," more consistency."
"576560","579700"," When Grant started doing this, he was approaching"
"579700","582140"," things the right way with the first rule"
"582140","584160"," we have for the developing traders, which is"
"584160","584800"," consistency."
"585840","587340"," And then the second rule we have for"
"587340","589160"," the developing traders, consistency. "
"590320","591720"," Then he would move on to the third"
"591720","594900"," rule we have for developing traders, consistency."
"596160","598160"," By the time he had done this and"
"598160","601140"," started just stringing together $200 a day for"
"601140","604380"," three months, he hit the development curve of"
"604380","607840"," traders and that development curve started working for"
"607840","609120"," him, not against him."
"609300","611860"," It kind of became this path for him"
"611860","612260"," to follow. "
"612420","614700"," It wasn't that boom and bust cycle anymore."
"615620","617420"," And you can fast forward and Grant is"
"617420","620500"," now one of our consistently profitable traders."
"621820","624240"," The only thing that really changed was the"
"624240","627340"," target and then his process and his mindset"
"627340","629840"," followed appropriately with that target. "
"629840","632160"," The second thing you need is a way"
"632160","635200"," to find those setups every single day."
"635960","637080"," But here's a key."
"637560","639280"," You really need a way to filter out"
"639280","639920"," the noise. "
"640200","641260"," You really need to be able to pick"
"641260","644280"," two or three names each day with clean"
"644280","647860"," setups, good pre-market volume and a catalyst."
"648800","650840"," And our technology in the scalp radar does"
"650840","652780"," this for you, but even if you just"
"652780","655800"," take the basics in play rules of a"
"655800","659880"," fresh catalyst, a gap up or down of"
"659880","663320"," 3% and gapping out of a range,"
"663600","665340"," you can get a giant head start because"
"665340","667000"," you're actually going to be looking at a"
"667000","668540"," lot of stocks in play."
"668880","671280"," But we can't really approach this goal without"
"671280","674660"," highlighting a key to success in this process,"
"674780","676100"," which is risk management. "
"676540","678040"," The risk management lets you stay in the"
"678040","678200"," game."
"678340","681180"," It's the difference between gamblers and the pros."
"681340","683220"," If you're trying to make $200 a day,"
"683220","685780"," but you're risking $300 per trade, it's not"
"685780","686360"," going to work. "
"687100","688900"," What we teach a lot of developing traders"
"688900","690700"," on our desk is what we call the"
"690700","692220"," 1R rule."
"693020","695140"," So if you're going to risk $25, you're"
"695140","697700"," going to risk $50, you're looking to make"
"697700","700620"," $50 or $100 on each scalp."
"701040","703020"," But the thing is, you're going to look"
"703020","706740"," for opportunities to both decrease the actual amount"
"706740","708480"," that you're risking in the trade, and we'll"
"708480","710040"," get to how in just a second. "
"710700","713020"," But you're also looking for opportunities where you"
"713020","716020"," can increase the amount you're expecting to gain."
"716560","718740"," So structurally, you might be thinking, okay, this"
"718740","720820"," is a 2 to 1, and you're thinking"
"720820","723400"," in terms of R and not dollars."
"723740","725820"," But in reality, as you get a little"
"725820","727500"," bit better at these trades, you can turn"
"727500","729580"," them into 5 to 1s or 6 to"
"729580","731300"," 1s, or sometimes let them run and really"
"731300","732580"," turn into something special. "
"732860","736260"," You're really looking for these consistent, small risk,"
"736560","739160"," high reward, big confidence trades."
"739600","741240"," If you're a developing trader and your goal"
"741240","744320"," is to make $200 a day, the reality"
"744320","747220"," is this becomes a really tough goal if"
"747220","749620"," you're trading the volatility that occurs right on"
"749620","750000"," the open."
"750480","751680"," So we have this stock that made a"
"751680","754640"," really strong move to the upside, and we're"
"754640","756680"," going to follow the 9 EMA. "
"756720","758680"," That's that blue line that's creeping up."
"758920","760800"," We're going to watch for the price action"
"760800","763580"," to come into that 9 EMA, and we're"
"763580","764720"," not going to take a trade."
"764820","766720"," We're not going to chase because that's the"
"766720","768100"," thing that gets a lot of traders in"
"768100","768380"," trouble. "
"768380","771600"," You'll chase, looking for a breakout there, and"
"771600","772200"," then it'll fail."
"773240","774560"," And it's like, what do I do here?"
"775080","776140"," How do I make that $200?"
"776560","777940"," All of a sudden, it winds up being"
"777940","778240"," a problem."
"778460","780780"," So we're teaching you the 9 EMA continuation"
"780780","781260"," scale. "
"782080","784500"," And the first step is to let the"
"784500","786680"," price action come into the 9 EMA."
"786920","788560"," And ideally, you want to see the volume"
"788560","790780"," start to trail off a little bit as"
"790780","791660"," we're pushing lower."
"792100","794380"," Look at this little battle that's occurring, and"
"794380","796620"," there's a little bit of uncertainty, and that's"
"796620","797120"," okay. "
"797700","799600"," We're still going to let the price come"
"799600","800000"," to us."
"800180","802320"," We're going to watch what happens when we"
"802320","804860"," get that push down into the 9 period"
"804860","807960"," exponential moving average, that 9 EMA."
"808280","809780"," And we're not going to take this trade"
"809780","813220"," unless a stock has made a distinct move"
"813220","815740"," in one direction from the open. "
"816280","818560"," That's just a really good best practice for"
"818560","819120"," us to do."
"819700","821560"," Now we can see the 9 EMA catching"
"821560","824760"," up, price trying to push down into it,"
"824760","826400"," and so we're going to look for a"
"826400","830860"," clear and distinct rejection on the part of"
"830860","833260"," the buyers, meaning the buyers are stepping right"
"833260","837000"," in, defending, and then stepping back up and"
"837000","837440"," through."
"838460","841340"," It looks like we're stepping higher already, but"
"841340","842920"," then you can kind of see that little"
"842920","843720"," bit of balance. "
"846170","847250"," Looks like we're trying."
"847430","848930"," We still need to see the buyer step"
"848930","849750"," up and through."
"850830","851830"," It's almost there. "
"852250","853970"," It looks like there's a battle there."
"856760","858280"," Oh, it feels like it."
"858440","859900"," Oh, maybe it's going to come back against"
"859900","860280"," us. "
"861520","863840"," This is why you wait for that clear"
"863840","866820"," and distinct rejection of that price."
"867380","869580"," You look for that 9 EMA to just"
"869580","873340"," respond appropriately with that buy program kicking right"
"873340","873700"," in."
"874280","875920"," If it doesn't, we don't have a trade. "
"876000","878040"," And right now, we honestly don't have a"
"878040","878280"," trade."
"878500","879800"," We have all the makings of a trade,"
"879980","882180"," but we still need to watch the price"
"882180","885820"," action for a distinct and noticeable change, and"
"885820","887020"," then we're there to participate."
"889660","891300"," If you're reading the tape, you can watch"
"891300","893520"," the offers and see where we just can't"
"893520","894880"," quite get above. "
"896160","898940"," But then once the buyers step through that"
"898940","900340"," price, you can buy above there."
"901600","903880"," You don't even need to necessarily watch the"
"903880","906280"," tape, although most of our traders do, but"
"906280","907600"," you're looking for that change."
"908000","910300"," And without that change, you don't have a"
"910300","910700"," trade. "
"913070","916530"," It feels like it's just not really sure,"
"916530","919130"," but wait for the change."
"919590","921050"," That's all you have to do."
"921750","923690"," If your goal is to make $200 a"
"923690","926430"," day, you now understand where you're risking against,"
"926550","927930"," which would be the low of that candle. "
"928850","930750"," So you can calculate your share size."
"931290","933170"," You can be ready for that change if"
"933170","937210"," it occurs, and you can wait and look"
"937210","940090"," for an opportunity right now."
"941330","944350"," Now, look, if we entered this position right"
"944350","946710"," here, we would put our stop right below"
"946710","948370"," the pullback low. "
"949710","952810"," Let's say we would risk $50 in this"
"952810","954090"," trade, right?"
"954450","956210"," If our goal is to make $200, we're"
"956210","958350"," looking for a 4R trade."
"959450","962670"," But in reality, because of that little battle"
"962670","965230"," that occurred right above the 9EMA, if this"
"965230","967470"," price action fails and starts to come right"
"967470","969650"," back down, we're probably going to stop out"
"969650","971410"," in advance of it getting all the way"
"971410","971910"," to the lows."
"971910","974090"," So we're probably closer to like a $30"
"974090","976290"," risk, right?"
"976570","979230"," If this doesn't go up and through almost"
"979230","982910"," immediately, we're probably feeling like, well, this isn't"
"982910","984870"," really the trade that I was looking for. "
"985710","987490"," So you want to see price action start"
"987490","989130"," to move up and away."
"991250","994350"," As we clear up and through, we can"
"994350","995690"," look to hold our position."
"995890","997450"," And this is one of the big challenges"
"997450","999610"," a lot of traders have is they will"
"999610","1001110"," not hold their trades. "
"1001430","1003090"," You'll be up in the trade and you'll"
"1003090","1005770"," be like, oh, man, I can make a"
"1005770","1006330"," profit."
"1007050","1008590"," But if your goal is to make $200"
"1008590","1010890"," a day, you want to have a distinct"
"1010890","1012970"," reason to sell your position."
"1014010","1015790"," And in this case, you want to allow"
"1015790","1019170"," the price action to work for you until"
"1019170","1022150"," it gets to an unsustainable price. "
"1022790","1024569"," So you want to see the price action"
"1024569","1029240"," accelerate and accelerate more."
"1029720","1031520"," And this is showing that 9EMA."
"1031520","1033460"," So this is where we would take our"
"1033460","1034740"," first exit. "
"1034819","1036079"," We would be out of the trade."
"1036260","1039500"," We finally had some real acceleration to the"
"1039500","1039859"," upside."
"1040599","1042500"," So what happened was we entered at like"
"1042500","1044420"," $10.07. We were risking a little less"
"1044420","1048000"," than $0.10. And we were allowing ourselves"
"1048000","1050980"," to use that momentum to really get out"
"1050980","1053080"," when we saw that real acceleration to the"
"1053080","1053360"," upside. "
"1053740","1055660"," And I understand the stock goes way higher"
"1055660","1056380"," later in the day."
"1056460","1056880"," That's OK."
"1057540","1060780"," The reality is we captured a really strong"
"1060780","1064960"," move by making a very consistent, very straightforward"
"1064960","1065460"," trade. "
"1066400","1068680"," And we got really close to that 4"
"1068680","1069980"," to 1 risk reward."
"1070300","1072760"," So although we were really risking about $30"
"1072760","1074640"," or $40 because we weren't going to get"
"1074640","1075940"," it all the way back to the low,"
"1076180","1078320"," we were calculating our risk off of that"
"1078320","1079300"," low at $50."
"1080160","1081960"," And we got really close to that 4"
"1081960","1082400"," to 1."
"1082580","1085420"," So essentially, we almost hit our daily goal"
"1085420","1086100"," already. "
"1088120","1090660"," It's trades like this that can show you"
"1090660","1092960"," the consistency that you're looking for and give"
"1092960","1095300"," you the opportunity to really put yourself in"
"1095300","1095980"," a great position."
"1096380","1098600"," Notice how distinct we were with what we"
"1098600","1100180"," were looking for, though."
"1100480","1102380"," We weren't coming up with this broad idea. "
"1102620","1104680"," We were looking for something very nuanced and"
"1104680","1106220"," very specific."
"1107060","1108020"," All right, we're going to bring in this"
"1108020","1109900"," 9 EMA continuation trade."
"1109980","1111320"," Just look at it from the other side. "
"1111680","1113520"," And I love studying these with the tape"
"1113520","1115860"," because we really get a sense for when"
"1115860","1119340"," the price rejects at that 9 EMA."
"1119780","1121100"," So when we're going to the upside, the"
"1121100","1123760"," reason that it rejects is because the buyers"
"1123760","1124640"," are stepping in."
"1124860","1127120"," Those momentum players are stepping in right at"
"1127120","1130980"," that 9 EMA, that 9 exponential moving average,"
"1131040","1132800"," and they're driving price higher. "
"1133380","1135180"," And when it rejects as we're going to"
"1135180","1137220"," the downside, it's because the sellers are right"
"1137220","1140380"," there at that 9 EMA, that 9 exponential"
"1140380","1141560"," moving average."
"1142400","1146140"," That's a really aggressive moving average for traders"
"1146140","1148300"," to follow, for big players to be moving,"
"1148460","1149940"," and that's why we want to look for"
"1149940","1152160"," an aggressive move right after that."
"1152580","1154540"," So let's pay attention to the price action. "
"1154820","1158200"," We have a really nice distinct down move"
"1158200","1161240"," in the stock, and then we can watch"
"1161240","1162480"," it as it starts to go in."
"1162620","1164120"," Again, we don't want to chase."
"1164500","1167340"," We want to allow the price to come"
"1167340","1167880"," to us. "
"1168080","1169780"," We can be the snipers here."
"1169780","1171820"," When we're looking to make a couple hundred"
"1171820","1174500"," dollars every day, we need to be the"
"1174500","1174880"," sniper."
"1175560","1176600"," Don't ever forget that. "
"1176700","1179360"," You have such an advantage over other traders"
"1179360","1182120"," out there because you can be the sniper."
"1189420","1191640"," So look, it's coming up to that 9"
"1191640","1195100"," EMA, that 9 exponential moving average, and we're"
"1195100","1197120"," going to look and see what happens right"
"1197120","1197300"," there."
"1197360","1199620"," We're not going to predict, but we're going"
"1199620","1202020"," to look and see how the price responds"
"1202020","1204140"," to that 9 EMA. "
"1204140","1209660"," Okay, let's look for a distinct and clear"
"1209660","1211620"," rejection of that level."
"1212500","1214280"," Right now, you can see the buyers driving"
"1214280","1215980"," it up, driving it up, driving it up."
"1216980","1225640"," Notice, if you see this, wait for it,"
"1225840","1228480"," look for the buyers to actually lose right"
"1228480","1228800"," here. "
"1229280","1230360"," And if they don't, we don't have a"
"1230360","1230560"," trade."
"1230720","1232480"," It doesn't feel like they've lost quite yet,"
"1232720","1235540"," but if they do, we have a trade."
"1235880","1236960"," We have that opportunity. "
"1238600","1240340"," Look at those sellers stepping in."
"1240340","1243120"," This is giving us an indication that those"
"1243120","1243900"," sellers are there."
"1244900","1247200"," If this drops, then we can take it"
"1247200","1250180"," short with our stop right above the highs. "
"1253700","1254220"," Right there."
"1255540","1257600"," We can take this short with our stop"
"1257600","1258820"," right against the highs."
"1259400","1261600"," So we're risking about 15 cents in this"
"1261600","1264340"," by entering when we get that turn with"
"1264340","1265560"," our stop above the highs. "
"1266360","1268860"," It doesn't seem like a lot of risk,"
"1269080","1271200"," but again, if we started to see those"
"1271200","1273020"," buyers step right up, we would try and"
"1273020","1276120"," lose less than we need to."
"1276440","1278280"," That's a key component here is you want"
"1278280","1280600"," to try and lose less than you need"
"1280600","1280820"," to."
"1280980","1282700"," As you see the price action coming down,"
"1282780","1285120"," you also don't want to exit your trades"
"1285120","1285700"," too early. "
"1285940","1287420"," This is why a lot of traders with"
"1287420","1290540"," those $1,000 goals end up not being"
"1290540","1293440"," able to make that goal, is because they'll"
"1293440","1294960"," wind up being in a trade that could"
"1294960","1297620"," make them $1,000, but really only makes"
"1297620","1300960"," them $400 or $300 because they exit the"
"1300960","1301840"," trade too early."
"1301840","1304240"," So you want to make sure that you're"
"1304240","1306360"," aware of what your reasons to sell are,"
"1306500","1307360"," your reasons to exit."
"1307740","1309940"," In this case, either you want that momentum"
"1309940","1314180"," move to the downside that's really sustained or"
"1314180","1317440"," you want to see that 9 EMA or"
"1317440","1320120"," the stock come back above the 9 EMA. "
"1320360","1322460"," So we're just holding our position now."
"1322560","1324440"," We don't have anything to do."
"1324860","1327600"," This is why that $200 goal is so"
"1327600","1330780"," achievable to start because you're actually building really"
"1330780","1332000"," good trading skills. "
"1332820","1334320"," You're managing your risk appropriately."
"1335180","1338720"," You're managing your reward appropriately, which is a"
"1338720","1341080"," really important factor in doing things the right"
"1341080","1341520"," way."
"1342260","1345120"," And then you're allowing the price action to"
"1345120","1348180"," occur without over responding to any of it. "
"1349300","1353500"," You're building really good foundational trading skills."
"1354120","1356440"," We see this little consolidation and then we"
"1356440","1359300"," would look for momentum out of that consolidation"
"1359300","1360780"," to continue to the downside."
"1361460","1364240"," If we have really extreme momentum, we might"
"1364240","1367740"," exit the rest of our position and give"
"1367740","1371520"," ourselves a really nice straightforward 9 EMA continuation"
"1371520","1373100"," trade to the downside. "
"1373760","1375600"," Other traders will argue you want to let"
"1375600","1378980"," it go until it crosses the 9 EMA."
"1379480","1381540"," I think when you get real momentum, you"
"1381540","1382720"," just want to exit the position."
"1384700","1386520"," We're seeing a real press lower. "
"1386520","1389580"," So we're getting right to that spot where"
"1389580","1391300"," we want to exit our position."
"1391640","1392860"," You see the increase in volume."
"1392940","1395720"," That's another indication that it's just time to"
"1395720","1397180"," exit our position. "
"1397640","1400840"," We had a really good scalp, really straightforward."
"1401360","1403600"," We managed our risk well, and now we"
"1403600","1404480"," can move on."
"1405580","1407740"," So in this case, we captured almost a"
"1407740","1410340"," 3 to 1, which again, if you're doing"
"1410340","1413560"," these things, these are very sustainable moves. "
"1413800","1415780"," Maybe you're not making $200 in this trade,"
"1415780","1419060"," but you're putting yourself in a position to"
"1419060","1422260"," make $200 in a day by being very"
"1422260","1423140"," consistent."
"1423900","1427100"," Now, here are some really important pain points,"
"1427160","1429180"," and these are rookie mistakes that kind of"
"1429180","1431360"," kill that $200 a day goal."
"1431940","1435120"," These are the exact mistakes that kind of"
"1435120","1438100"," keep our newer traders from making progress early"
"1438100","1438460"," on. "
"1438720","1440460"," And this is the number one thing that"
"1440460","1442220"," really sets people back."
"1442620","1444720"," That bell rings and they start trading right"
"1444720","1445260"," from the open."
"1445260","1447360"," So if you really want to achieve this"
"1447360","1449920"," goal, you're probably not going to trade from"
"1449920","1453020"," $9.30 to $9.35. I understand. "
"1453360","1454360"," It's on the open."
"1454520","1455200"," It's exciting."
"1455480","1456800"," It's what you want to be doing. "
"1456980","1457860"," You want to be a trader."
"1458080","1458740"," I want to be a trader."
"1458840","1460180"," We all are here to be traders. "
"1460600","1462740"," But I'll tell you what, most of the"
"1462740","1465500"," time, unless you have a very distinctly clear"
"1465500","1469500"," setup or really distinct opportunity, trading from $9 "
"1469500","1472420",".30 to $9.35 is actually taking on"
"1472420","1473780"," more risk than you think."
"1473780","1476100"," You don't want to set out with a"
"1476100","1479980"," goal of making $200 a day and then"
"1479980","1482000"," by $9.35, be down $300."
"1483300","1485140"," It's something that can happen. "
"1485380","1487940"," So what we tell traders to do is"
"1487940","1491140"," to focus on letting the trades develop for"
"1491140","1491540"," you."
"1491920","1493800"," What you're going to do is allow the"
"1493800","1495940"," trades to fall into your lap."
"1496180","1497940"," So you're going to learn a couple really"
"1497940","1500840"," discreet trades, understand when to look for them,"
"1501260","1503520"," like we're talking about in this video, but"
"1503520","1506700"," then allow those trades to truly show up"
"1506700","1507660"," for you. "
"1508080","1510220"," The benefit you have of setting out with"
"1510220","1513740"," this goal of consistency and in numbers making"
"1513740","1516660"," that $200 a day or risking one R"
"1516660","1520680"," to make three or four R consistently is"
"1520680","1522700"," that you can be more selective."
"1522960","1525520"," You can be the sniper waiting in the"
"1525520","1525900"," weeds."
"1526220","1528240"," You don't have to have a bunch of"
"1528240","1530400"," tries in order to do something. "
"1530400","1534040"," With a very manageable and achievable goal, you"
"1534040","1536380"," can sit there and wait for the trading"
"1536380","1538620"," opportunities to come to you."
"1539940","1541820"," It's this little moment of self-talk that"
"1541820","1543440"," right before the open, you just take a"
"1543440","1548720"," breath, remind yourself what your goal is, and"
"1548720","1550160"," then go out to be a sniper."
"1550380","1552540"," Let the opportunities find you. "
"1553960","1557060"," Another big challenge that occurs is traders will"
"1557060","1560920"," start chasing breakouts without any confirmation, because, oh,"
"1560920","1562400"," man, if this breaks out, it really could"
"1562400","1562720"," go."
"1563120","1565100"," That can be such a dangerous game."
"1565200","1566860"," What you'll see on our desk is traders"
